decade,avg_exports,avg_imports,avg_trade_balance,years_in_deficit,total_years
2000,23.49761581981029,32.01955942793613,-8.52194360812584,10,10
2010,16.08888791263594,27.05281152553962,-10.96392361290368,10,10
2020,14.349619681446,22.347280522719874,-7.997660841273875,4,4
