decade,avg_gdp_growth,avg_inflation,avg_trade_balance,years
2000s,3.5732349452009986,10.911899305272243,-8.52194360812584,10
2010s,5.0347520366127245,7.077179672474176,-10.96392361290368,10
2020s,4.474424150229481,6.711089284735485,-7.997660841273875,4
