year,gdp_usd,gdp_growth_pct,gdp_per_capita_usd,inflation_pct,exports_pct_gdp,imports_pct_gdp,current_account_pct_gdp,govt_debt_pct_gdp,tax_revenue_pct_gdp,unemployment_pct,poverty_headcount_pct,external_debt_pct_gni,financial_inclusion_pct
2000,12705350097.8044,0.599695390807426,414.626365130846,9.98002515350979,21.5875711417625,31.7214732444648,-1.5693516563302,,,2.884,,48.8816816711472,
2001,12986007425.8781,3.77990649795343,410.700452474814,5.73859814341467,22.9315763643367,33.0152596643276,-2.46632258412886,,,2.876,,42.8030792314832,
2002,13147736898.5176,0.546859530175595,402.936385605382,1.96130821739162,24.8979726147002,30.2746996493051,-0.894975876340371,,,2.916,,46.7971661071858,
2003,14904517649.8476,2.93247554570904,442.898457253405,9.81569062979654,24.086815305421,30.045450590308,0.888450320310784,,,2.869,,45.5616989858586,
2004,16095337093.8366,5.10429977629738,463.662781300121,11.6240355442426,26.6102585752973,32.8667447731316,-0.818703017571567,,,2.844,,43.3540299808694,
2005,18737895512.7378,5.90666607980057,523.456312433863,10.3127783574683,28.5090302142012,35.9698359497784,-1.34655849731384,,,2.739,44.6,34.7059410831863,
2006,25825512284.2891,6.47249430015484,699.80237063381,14.4537342081708,22.9849396441861,32.2515454815442,-1.97646990538245,,,2.673,,26.0902560577936,
2007,31958195182.2406,6.85072976998784,840.201439476765,9.75888023027529,21.9189912933699,31.975797511236,-3.2293696026957,,,2.642,,23.8155904871498,
2008,35895153327.8497,0.232282744812977,915.54435473604,26.2398166445063,22.6740575532267,34.9045410940864,-5.52329630288282,,,2.751,,21.4473704486947,
2009,42347217912.9176,3.30693981631089,1047.9678324485,9.23412592394652,18.7749454916013,27.1702463211792,-3.98728888063666,,,2.816,,23.2191740274624,
2010,45405615063.7551,8.05847360290906,1091.51873101194,3.96138889115385,20.1243596478793,30.2699277024041,-5.21669389712651,,,2.793,,22.2953111640431,
2011,46869473150.61,5.1211061197056,1096.14499807675,14.0224913014704,21.5494770708279,36.8527289037346,-8.14880935200662,,,2.699,,23.9314455090232,42.3434543670765
2012,56396704671.5777,4.56867961444982,1285.00536171512,9.37777003547598,19.8649477228834,31.7587443003647,-7.47587166159348,,,2.678,,23.5760157767792,
2013,61671440407.8387,3.7978483925754,1370.87885214659,5.71749357037733,17.7921805531655,29.6724619595649,-7.85152228564967,,,2.762,,25.277644789086,
2014,68285796514.2896,5.02011100232484,1482.81566253497,6.87815499275949,16.4728044658123,29.6976848964037,-9.34004850596924,,15.1870212650473,2.767,,27.916456980179,74.6578329382712
2015,70120446896.8359,4.96772112759767,1489.11959777284,6.58215429284779,15.1287339034504,25.1986507884515,-6.30459656347733,,14.8394826504099,2.762,37.7,31.3058278228131,
2016,74815144163.8931,4.21351706814744,1554.12610314423,6.29724953814625,13.2497448006759,21.6152747725065,-5.3970086381703,,14.9664727307544,2.757,,28.5315668521598,
2017,82036510877.2599,3.83795817364721,1667.48447230835,8.00564967709945,12.7366599413725,23.2583979340349,-6.99683322084958,,15.0524641340645,3.542,,33.4901470475528,81.5675646333189
2018,92202979985.2863,5.64794640709219,1836.45275528993,4.6898064677633,12.541975333359,21.8727778433835,-5.41106679141752,,14.3612789172776,4.284,,34.6140434138868,
2019,100378436207.371,5.11415885767801,1960.40808854893,5.23963795764792,11.4279956869332,20.3314661545478,-5.23852935907811,,15.1001093470909,5.014,,35.4042862038635,
2020,100657505750.545,-0.272766327438816,1927.66459027849,5.40516207933392,11.4410451821593,18.9580936008817,-3.26911007065289,,14.2998226320714,5.613,44.4,38.0454096339675,
2021,109703658904.994,7.59048947333467,2061.35622089594,6.10793603659176,13.1097382018218,21.8923095777051,-4.5990081153926,,13.554644324086,5.693,46.4,38.1042168095825,79.1951576168317
2022,114448978152.637,4.85998104287999,2109.56288513137,7.65986268272224,15.9570283629469,24.3182954744092,-4.19995258299621,,14.5993496343343,5.565,45.5,36.8769031537885,
2023,107500884685.013,5.71999241214208,1942.58802756191,7.67139634029402,16.890666978856,24.2204234378835,-2.54552534327701,,14.0631113797385,5.409,,40.4232521954815,
2024,120339557905.932,4.72473994710138,2132.43452097647,4.48978854243448,17.0656153005354,23.1203986963402,-1.28786467215559,,,5.487,,34.992669732423,90.1199173733613
